Date : 2026-05-27 13:54:18
Directory : h:\C#\Projects\5e_App
Total : 67 files,  36142 codes, 755 comments, 5458 blanks, all 42355 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                               | UnityShader |         63 |          2 |         20 |         85 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                                        | UnityShader |        129 |          2 |         35 |        166 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                                    | UnityShader |         62 |          6 |         13 |         81 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                                       | UnityShader |         75 |          7 |         18 |        100 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                             | JSON        |        155 |          0 |          2 |        157 |
| h:\C#\Projects\5e_App\Packages\manifest.json                                                                                                | JSON        |         60 |          0 |          1 |         61 |
| h:\C#\Projects\5e_App\Packages\packages-lock.json                                                                                           | JSON        |        590 |          0 |          1 |        591 |
| h:\C#\Projects\5e_App\WindowsBuild\5e_App_Data\RuntimeInitializeOnLoads.json                                                                | JSON        |          1 |          0 |          1 |          2 |
| h:\C#\Projects\5e_App\WindowsBuild\5e_App_Data\ScriptingAssemblies.json                                                                     | JSON        |          1 |          0 |          0 |          1 |
| h:\C#\Projects\5e_App\WindowsBuild\MonoBleedingEdge\etc\mono\2.0\DefaultWsdlHelpGenerator.aspx                                              | HTML        |      1,594 |         28 |        280 |      1,902 |
| h:\C#\Projects\5e_App\WindowsBuild\MonoBleedingEdge\etc\mono\4.0\DefaultWsdlHelpGenerator.aspx                                              | HTML        |      1,594 |         28 |        280 |      1,902 |
| h:\C#\Projects\5e_App\WindowsBuild\MonoBleedingEdge\etc\mono\4.5\DefaultWsdlHelpGenerator.aspx                                              | HTML        |      1,594 |         28 |        280 |      1,902 |
| h:\C#\Projects\5e_App\WindowsBuild\MonoBleedingEdge\etc\mono\browscap.ini                                                                   | Ini         |     13,255 |        274 |      3,451 |     16,980 |
| h:\C#\Projects\5e_App\WindowsBuild\MonoBleedingEdge\etc\mono\mconfig\config.xml                                                             | XML         |        525 |         30 |         62 |        617 |
| Total                                                                                                                                       |             |     36,142 |        755 |      5,458 |     42,355 |
+---------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
